LON,LAT,EDO,CLAVE,ESTACION,dic-23
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",11.65
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",11.82
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",1.52
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",3.03
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",2.02
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",6.07
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",0.0
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",6.05
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",0.0
-99.264444,19.359722,DF,TSLDF,"Santa Fe (Santa Lucía), Cd. de Méx.",9.63
