LON,LAT,EDO,CLAVE,ESTACION,abr-24
-99.143056,19.331944,CDMX,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",5.75
-99.194167,19.296111,CDMX,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",6.27
-99.17,19.4,CDMX,RCMDF,"Radio Comunicación, Cd. de Méx.",8.02
-99.129444,19.237222,CDMX,RECLUSORIOSUR,"Pozo reclusorio Sur, Cd. de Méx. SACMEX*",0.0
-99.0,19.166667,CDMX,SANDF,"Santa Ana, Cd. de Méx.",0.0
-99.028889,19.338333,CDMX,SCMDF,"Rebombeo La Quebradora (Santa Cruz Meyehualco), Cd. de Méx.",22.35
-99.122222,19.572222,CDMX,SGDDF,"Sierra Guadalupe, Cd. de Méx.",14.15
-99.079167,19.465278,CDMX,SJADF,"San Juan de Aragón, Cd. de Méx.",15.7
-99.176389,19.206389,CDMX,SMTOPILEJO,"San Miguel Topilejo, Cd. de Méx. SACMEX*",11.7
-99.17,19.262778,CDMX,SPEDROMARTIR,"San Pedro Mártir, Cd. de Méx. SACMEX*",18.25
-99.009722,19.281389,CDMX,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",0.0
-98.960556,19.320833,CDMX,SSCDF,"La Caldera Subestación eléctrica Santa Lucía, Méx.",0.51
-99.1425,19.556111,CDMX,TCMDF,"Tanque Chalmita, Cd. de Méx.",46.25
-99.272222,19.373056,CDMX,TECDF,"Tanque el Cartero, Cd. de Méx.",10.63
-99.246389,19.333889,CDMX,TELDF,"Tanque el Lienzo, Cd. de Méx.",2.5
-99.000556,19.275,CDMX,TEQUESQUITE,"San José Tlahuac RB Tequesquite, Cd. de Méx. SACMEX*",1.5
-99.098889,19.385556,CDMX,TEZDF,"Tezontle, Cd. de Méx. SMN*",1.27
-99.211667,19.399167,CDMX,TNGDF,"Triángulo, Cd. de Méx.",9.95
-99.135833,19.199444,CDMX,TPJDF,"Topilejo, Cd. de Méx.",11.25
-99.084722,19.440833,CDMX,TPNDF,"Tanque Peñón, Cd. de Méx.",23.8
-99.2125,19.361944,CDMX,TRGDF,"Tarango, Cd. de Méx.",0.0
-99.248611,19.316667,CDMX,TSFDF,"Tanque San Francisco, Cd. de Méx.",12.93
-99.228611,19.436389,CDMX,TSJDF,"Tanque San Joaquín, Cd. de Méx.",5.75
-99.264444,19.359722,CDMX,TSLDF,"Santa Fe (Santa Lucía), Cd. de Méx.",13.46
-99.245833,19.274167,CDMX,ZACATON,"Zacatón, Cd. de Méx. SACMEX*",36.0
