LON,LAT,EDO,CLAVE,ESTACION,sep-24
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",177.12
-99.177222,19.328889,DF,POZOCU,"Pozo C.U., Cd. de Méx. SACMéx.",0.75
-99.235556,19.423611,DF,PRESAMIXCOAC,"Presa Mixcoac, Cd. de Méx. SACMéx.",435.0
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",370.05
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",162.61
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",105.26
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",167.7
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",5.25
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",235.84
-99.059444,19.225278,DF,PTARSPACTOPAN,"PTAR San Pedro Actopan, Cd. de Méx. SACMéx.",117.25
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",197.08
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",153.74
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",247.53
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",232.61
-99.17,19.4,DF,RCMDF,"Radio Comunicación, Cd. de Méx.",193.5
-99.129444,19.237222,DF,RECLUSORIOSUR,"Pozo reclusorio Sur, Cd. de Méx. SACMéx.",195.75
-99.0,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",127.5
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora (Santa Cruz Meyehualco), Cd. de Méx.",106.45
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",210.5
