LON,LAT,EDO,CLAVE,ESTACION,sep-24
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",446.4
-99.235278,19.203333,DF,AJUSCOALTATEN,"Ajusco Alta Tensión, Cd. de Méx. SACMEX*",511.0
-99.197222,19.388611,DF,CAJA6IPSAYP,"Caja-6 IP San Antonio y Periferico, Cd. de Méx. SACMEX*",279.5
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",280.37
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",210.5
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",168.85
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",145.22
-99.021667,19.256111,DF,CERRILLOS,"Cerrillos, Cd. de Méx. SACMEX*",293.75
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",411.65
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de Méx. SACMEX*",13.44
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",153.75
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",202.29
-99.077778,19.4775,DF,CRAEOCAVM,"San Juan de Aragón (CRAE OCAVM), Cd. de Méx. SACMEX*",123.25
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",223.42
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",246.42
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",165.87
-99.205,19.3,DF,DATDF,"Desviación Alta, Cd. de Méx.",215.0
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",163.25
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",414.87
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",326.95
-99.073056,19.288611,DF,ELMOLINOCDMX,"El Molino, Cd. de Méx. SACMEX*",236.25
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",379.04
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",436.5
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de Méx.",168.2
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",446.5
-98.975,19.339167,DF,LACALDERA,"La Caldera Subestación eléctrica Santa Lucía, Méx. SACMEX*",237.5
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos (El Moral), Cd. de Méx.",131.25
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",171.75
-99.026944,19.187222,DF,MILPAALTADF,"Milpa Alta, Cd. de Méx. SACMEX*",255.28
-99.120556,19.150556,DF,MTULMIAC,"Manantial Tulmiac, Cd. de Méx. SACMEX*",336.75
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo (Mezontepec), Cd. de Méx.",432.46
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de Mécico Sur, Cd. de Méx.",246.59
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",186.13
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",13.44
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",160.52
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",43.9
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",232.47
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",328.25
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",179.38
