LON,LAT,EDO,CLAVE,ESTACION,sep-24
-99.209444,19.308611,DF,PICACHOAJUSCO,"Planta Pichacho Ajusco Periférico, Cd. de Méx. SACMEX*",359.75
-99.219444,19.285278,DF,PICACHOHOMUN,"Picacho Homun, Cd. de Méx. SACMEX*",334.0
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",223.28
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",144.0
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",248.0
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",230.06
-99.177222,19.328889,DF,POZOCU,"Pozo C.U., Cd. de Méx. SACMEX*",149.5
-99.235556,19.423611,DF,PRESAMIXCOAC,"Presa Mixcoac, Cd. de Méx. SACMEX*",629.25
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",521.5
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",140.37
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",250.0
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",272.49
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",3.0
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",350.92
-99.059444,19.225278,DF,PTARSPACTOPAN,"PTAR San Pedro Actopan, Cd. de Méx. SACMEX*",203.75
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",150.29
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",320.54
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",299.07
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",319.29
-99.17,19.4,DF,RCMDF,"Radio Comunicación, Cd. de Méx.",254.75
-99.129444,19.237222,DF,RECLUSORIOSUR,"Pozo reclusorio Sur, Cd. de Méx. SACMEX*",327.5
-99.0,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",318.0
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora (Santa Cruz Meyehualco), Cd. de Méx.",194.59
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",171.0
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",168.14
-99.176389,19.206389,DF,SMTOPILEJO,"San Miguel Topilejo, Cd. de Méx. SACMEX*",468.5
-99.17,19.262778,DF,SPEDROMARTIR,"San Pedro Mártir, Cd. de Méx. SACMEX*",350.92
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",237.5
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",144.7
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",402.36
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",322.12
-99.000556,19.275,DF,TEQUESQUITE,"San José Tlahuac RB Tequesquite, Cd. de Méx. SACMEX*",0.0
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",139.45
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",310.51
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",320.99
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",166.09
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",321.25
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",387.5
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",329.29
-99.264444,19.359722,DF,TSLDF,"Santa Fe (Santa Lucía), Cd. de Méx.",481.55
-99.245833,19.274167,DF,ZACATON,"Zacatón, Cd. de Méx. SACMEX*",478.55
